Date,Average_price
087/12/01,84
087/12/02,113
087/12/03,94
087/12/04,116
087/12/06,96
087/12/07,113
087/12/08,159
087/12/09,140
087/12/10,166
087/12/11,146
087/12/12,163
087/12/14,160
087/12/15,146
087/12/16,146
087/12/17,165
087/12/18,208
087/12/19,195
087/12/20,184
087/12/21,166
087/12/22,150
087/12/23,175
087/12/24,203
087/12/25,206
087/12/28,192
087/12/29,181
087/12/30,160
087/12/31,179
088/01/01,164
088/01/02,177
088/01/04,181
088/01/05,185
088/01/06,190
088/01/07,221
088/01/08,229
088/01/09,219
088/01/11,191
088/01/12,157
088/01/13,174
088/01/14,189
088/01/15,206
088/01/16,180
088/01/18,198
088/01/19,183
088/01/20,196
088/01/21,192
088/01/22,184
088/01/23,162
088/01/25,145
088/01/26,126
088/01/27,136
088/01/28,142
088/01/29,117
088/01/30,105
088/02/01,101
088/02/02,108
088/02/03,97
088/02/04,104
088/02/05,114
088/02/06,148
088/02/08,188
088/02/09,181
088/02/10,139
088/02/11,161
088/02/12,202
088/02/13,205
088/02/14,261
088/02/15,253
088/02/21,138
088/02/22,125
088/02/23,149
088/02/24,152
088/02/25,158
088/02/26,180
088/02/27,139
088/02/28,144
088/03/01,122
088/03/02,158
088/03/05,171
088/03/06,186
088/03/08,173
088/03/09,160
088/03/10,172
088/03/11,156
088/03/12,149
088/03/13,167
088/03/15,189
088/03/16,169
088/03/17,174
088/03/18,177
088/03/19,189
088/03/20,193
088/03/22,161
088/03/23,145
088/03/24,139
088/03/25,136
088/03/26,154
088/03/27,135
088/03/29,124
088/03/30,96
088/03/31,132
088/04/01,131
088/04/02,173
088/04/03,216
088/04/04,171
088/04/05,149
088/04/07,174
088/04/08,193
088/04/09,180
088/04/10,202
088/04/12,200
088/04/13,182
088/04/14,168
088/04/15,186
088/04/16,136
088/04/17,117
088/04/19,123
088/04/20,121
088/04/21,142
088/04/22,109
088/04/23,114
088/04/24,69
088/04/26,48
088/04/27,46
088/04/28,53
088/04/29,49
088/04/30,49
088/05/01,48
088/05/03,64
088/05/04,58
088/05/05,71
088/05/06,75
088/05/07,97
088/05/08,116
088/05/09,100
088/05/12,88
088/05/13,119
088/05/14,149
088/05/15,147
088/05/17,110
088/05/18,119
088/05/19,91
088/05/20,89
088/05/21,142
088/05/22,110
088/05/24,76
088/05/25,67
088/05/26,85
088/05/27,72
088/05/28,86
088/05/29,99
088/05/31,91
088/06/01,115
088/06/02,114
088/06/03,168
